,drug_id,identifier
9988,13923,N-746
9989,13925,RS-4691
9990,13931,MG 46
9991,13933,SM 227
9992,13936,NDI 609
9993,13937,RC-27109
9994,13939,R 2453
9995,13943,CPD-5411
9996,13943,CPD. 5411
9997,13944,E-343(III)
9998,13944,INS NO.343(III)
9999,13944,INS-343(III)
10000,13947,NSC-131546
10001,13947,RO 1-9334/19
10002,13947,RO-1-9334/19
10003,13947,RO-1933419
10004,13950,GS 0393
10005,13950,GS-0393
10006,13953,RS 8852
10007,13956,AG 221
10008,13956,AG-221
10009,13959,BSI-201
10010,13960,A-1325912.0
10011,13960,ABT 530
10012,13960,ABT-530
10013,13961,A-1282576
10014,13961,A-1282576.0
10015,13961,A-12825760
10016,13961,ABT 493
10017,13961,ABT-493
10018,13975,CART-19
10019,13975,CART19
10020,13975,CTL-019
10021,13975,CTL019
10022,14000,Fema no. 2047
10023,14002,BRN 2440952
10024,14005,C.I. 45410
10025,14008,SHP626
10026,14009,KTE-C19
10027,14010,A-399-Y4
10028,14010,Antibiotic 1037
10029,14010,Antibiotic A-399-Y4
10030,14010,Antibiotic E212
10031,14010,E-212
10032,14012,BRN 2224754
10033,14013,CV-11974
10034,14014,NM-283
10035,14014,NM283
10036,14015,NM 107
10037,14015,NM-107
10038,14017,ACE 910
10039,14017,ACE-910
10040,14017,ACE910
10041,14018,GSK-1437173A
10042,14018,GSK1437173A
10043,14021,ANLE-138b
10044,14021,anle138b
10045,14021,CS-6522
10046,14021,HY-101855
10047,14022,NN-9535
10048,14022,NN9535
10049,14022,NNC 0113-0217
10050,14022,NNC-0113-0217
10051,14023,SR 49059
10052,14023,SR-49059
10053,14023,SR49059
10054,14023,TDI-0134
10055,14024,BVD-523
10056,14024,BVD-ERK
10057,14025,AR-11324 free base
10058,14028,LGD-4033
10059,14028,VK-5211
10060,14028,VK5211
10061,14029,AC 262536
10062,14029,"AC-262,536"
10063,14029,AC-262536
10064,14030,JNJ-28330835
10065,14031,LGD 3303
10066,14031,LGD-3303
10067,14032,S-40503
10068,14032,S40503
10069,14033,RAD-140
10070,14033,RAD140
10071,14041,BAY 86-5037
10072,14041,BRN 3176734
10073,14041,CLR-610
10074,14041,ORG 538
10075,14041,ORG-538
10076,14045,WIN 55212-2
10077,14045,WIN-55212-2
10078,14053,J147
10079,14054,CDB 903
10080,14054,CDB-903
10081,14054,NSC-69948
10082,14054,"U-15,614"
10083,14054,U-15614
10084,14055,MIGLYOL 810 N
10085,14055,MIGLYOL 812 N
10086,14056,AI3-61639
10087,14056,BRN 1705868
10088,14056,NSC 141021
10089,14058,CCRIS 3259
10090,14058,NSC 122011
10091,14059,AI3-00053
10092,14059,CCRIS 1360
10093,14062,BRN 1781127
10094,14062,FEMA NO. 3556
10095,14065,Caswell No. 613A
10096,14069,MSC-100-IV
10097,14074,EX 527
10098,14074,EX-527
10099,14074,EX527
10100,14077,ORG 10486-0
10101,14077,ORG-10486-0
10102,14077,TX 066
10103,14077,TX-066
10104,14079,K36
10105,14080,HSDB 812
10106,14080,RC 270
10107,14084,SB-269970
10108,14088,P 2105
10109,14088,P-2105
10110,14093,PK-8165
10111,14094,ST 9067
10112,14094,ST-9067
10113,14095,MK-0343
10114,14095,MRK-409
10115,14096,AZD 7325
10116,14096,AZD-7325
10117,14096,AZD7325
10118,14097,H-61
10119,14097,H61
10120,14099,S-033188
10121,14108,CV 104
10122,14109,T-3376
10123,14111,MK-3222
10124,14111,SCH 900222
10125,14118,GW 1000
10126,14118,GW 1000-02
10127,14118,GW-1000
10128,14118,GW1000
10129,14118,SAB 378
10130,14118,SAB-378
10131,14119,KRN-23
10132,14119,KRN23
10133,14120,SR 9009
10134,14120,SR-9009
10135,14120,SR9009
10136,14121,SR 9011
10137,14121,SR-9011
10138,14121,SR9011
10139,14122,E222
10140,14124,H3B 8800
10141,14124,H3B-8800
10142,14124,H3B8800
10143,14126,07-PNET
10144,14127,WY 42956
10145,14127,WY-42956
10146,14134,BIM 51077
10147,14134,ITM 077
10148,14134,R 1583
10149,14134,RO 5073031
10150,14134,RO5073031
10151,14135,A 101
10152,14135,A101
10153,14135,RO 5-2180
10154,14137,PZM21
10155,14138,DRP 859025
10156,14138,M 9500
10157,14138,M-9500
10158,14138,R 246
10159,14138,R-246
10160,14138,SK 1133
10161,14142,CP 68722
10162,14145,SKF 14463
10163,14146,AMG 334
10164,14146,AMG-334
10165,14146,AMG334
10166,14148,TEV-48125
10167,14149,LY-2951742
10168,14149,LY2951742
10169,14166,UXSI-9
10170,14166,ZS
10171,14166,ZS-9
10172,14167,N511
10173,14168,GWP 42006
10174,14168,GWP-42006
10175,14168,GWP42006
10176,14174,Antibiotic K 178
10177,14174,Antibiotic X-464
10178,14174,BRN 1696755
10179,14174,X-464
10180,14175,ANTIBIOTIC N-329 B
10181,14175,BRN 0078657
10182,14176,Antibiotic R106I
10183,14176,LY 295337
10184,14176,LY295337
10185,14176,NK 204
10186,14176,R106-1
10187,14177,SC 236
10188,14177,SC-236
10189,14177,SC236
10190,14178,NS 398
10191,14178,NS-398
10192,14178,NS398
10193,14179,"Win 24,933"
10194,14179,WIN 24933
10195,14180,Antibiotic X 4357 B
10196,14180,X 4357 B
10197,14187,OC 144-093
10198,14187,ONT 093
10199,14187,ONT-093
10200,14187,ONT093
10201,14188,HM 30181
10202,14188,HM-30181
10203,14188,HM-30181A
10204,14188,HM30181
10205,14188,HM30181A
10206,14189,CP 62508
10207,14189,CP-53261
10208,14192,EC 423-210-8
10209,14192,KBR 3023
10210,14195,SM 1000
10211,14199,BA 2742
10212,14199,BA-2742
10213,14200,MP 600
10214,14200,MP-600
10215,14201,D.E.R. 332
10216,14201,EP 274
10217,14201,ERL-2774
10218,14201,GY 6010
10219,14204,KB 53
10220,14204,KB-53
10221,14204,Z 7300
10222,14207,BRN 1725149
10223,14212,A-0001
10224,14212,A0001
10225,14212,EPIA-0001
10226,14215,BMS-181162
10227,14223,MG-6060LS
10228,14228,BRN 1731276
10229,14234,MP-1051
10230,14237,EC 439-210-6
10231,14242,KF 993
10232,14242,Q 2-1401
10233,14242,SWS 03314
10234,14242,SWS-F 222
10235,14242,VS-7158
10236,14242,VS-7207
10237,14242,VS-7349
10238,14242,X 2-1401
10239,14243,CGS 14831
10240,14243,CGS-14831
10241,14244,GS 1275
10242,14244,GS-1275
10243,14245,LBQ 657
10244,14245,LBQ-657
10245,14245,LBQ657
10246,14246,BRN 3584133
10247,14249,CCRIS 8682
10248,14249,FCE 26184
10249,14252,BRN 1763479
10250,14257,E-467
10251,14257,Ins no.467
10252,14257,INS-467
10253,14264,NKTR 181
10254,14264,NKTR-181
10255,14270,BM-RE60
10256,14270,KG 135
10257,14271,E-435
10258,14271,FEMA NO. 2916
10259,14271,INS-435
10260,14272,C.I. 77480
10261,14272,CI 77480
10262,14272,E-175
10263,14272,INS NO.175
10264,14272,INS-175
10265,14274,Fema no. 4513
10266,14276,CP-305
10267,14279,E-322(I)
10268,14279,INS NO.322(I)
10269,14279,INS-322(I)
10270,14280,B1120
10271,14290,Fema no. 2795
10272,14292,BRN 0247608
10273,14293,BRN 0511292
10274,14293,CCRIS 1342
10275,14293,FEMA No. 2061
10276,14293,HSDB 8003
10277,14296,CP 2113
10278,14296,USAF B-32
10279,14296,USAF EK-P-6255
10280,14297,B2331
10281,14303,ALKS 9070
10282,14303,ALKS 9072
10283,14303,ALKS-9070
10284,14303,ALKS-9072
10285,14303,RDC-3317
10286,14303,RDC3317
10287,14305,AI3-05823
10288,14313,4010 NA
10289,14313,4010NA
10290,14316,XD-1840
10291,14320,BRN 0191684
10292,14320,CCRIS 4911
10293,14320,EC 203-052-4
10294,14320,USAF CY-7
10295,14321,C.I. 111935
10296,14327,RU 44403
10297,14328,RS-10029
10298,14329,RB5-IGM
10299,14330,BRN 0509801
10300,14330,Caswell No. 573PP
10301,14330,CCRIS 3946
10302,14330,E218
10303,14330,EC 202-785-7
10304,14330,FEMA No. 2710
10305,14330,INS No. 218
10306,14331,BRN 4207072
10307,14331,S 9780
10308,14331,S-9780
10309,14332,C.I. Solvent Red 141
10310,14335,CI 928
10311,14335,CI-928
10312,14336,LP 778902
10313,14336,LP-778902
10314,14348,MP 4006
10315,14348,MP-4006
10316,14350,BRN 0212040
10317,14350,LA 96
10318,14350,LA-96
10319,14353,B1064
10320,14353,B2013
10321,14589,Eusolex 3573
10322,14589,Eusolex-3573
10323,14594,E-307C
10324,14594,Ins no.307C
10325,14594,INS-307C
10326,14617,E-515(I)
10327,14617,Ins no.515(I)
10328,14617,Ins-515(I)
10329,14620,E-339(II)
10330,14620,Fema no. 2398
10331,14620,INS NO.339(II)
10332,14620,INS-339(II)
10333,14630,"CP-15,467-61"
10334,14630,CP-15467-61
10335,14630,CP-1546761
10336,14634,SCH 32088
10337,14634,SCH-32088
10338,14642,KRX-0502
10339,14678,BRN 1098464
10340,14678,Caswell No. 644
10341,14684,PRT-4445
10342,14684,PRT064445
10343,14686,B1281
