drug_id,region,max_phase,marketed_prescription,marketed_prescription_started_on,marketed_prescription_ended_on,generic_available,generic_available_on,mixture_available,mixture_available_on,marketed_otc,marketed_otc_started_on,marketed_otc_ended_on,marketed_unapproved,marketed_unapproved_started_on,marketed_unapproved_ended_on,pre_market_cancelled,pre_market_cancelled_on,post_market_cancelled,post_market_cancelled_on
69,us,4,1,01-Oct-1997,31-Dec-2017,0,,0,,0,,,0,,,0,,1,31-Dec-2017
70,ca,4,0,,,0,,0,,0,,,0,,,1,,0,
70,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
70,th,0,0,,,0,,0,,0,,,0,,,0,,0,
70,us,4,1,01-Jul-2004,,0,,0,,0,,,0,,,0,,0,
71,ca,4,1,31-Dec-1980,,0,,0,,0,,,0,,,0,,0,
71,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
71,th,0,0,,,0,,0,,0,,,0,,,0,,0,
71,us,0,0,,,0,,0,,0,,,0,,,0,,0,
72,ca,4,1,23-Aug-1999,,0,,1,,0,,,0,,,0,,0,
72,eu,4,1,08-Sep-2016,,0,,1,,0,,,0,,,0,,0,
72,th,4,0,,,0,,0,,0,,,0,,,0,,0,
72,us,4,1,25-Sep-1998,,0,,1,,0,,,0,,,0,,0,
73,ca,4,1,20-Mar-2000,,0,,0,,0,,,0,,,0,,0,
73,eu,4,1,24-Nov-2020,,0,,0,,0,,,0,,,0,,0,
73,th,4,0,,,0,,0,,0,,,0,,,0,,0,
73,us,4,1,26-Nov-1997,,0,,1,,0,,,0,,,0,,0,
74,ca,4,1,23-Oct-2000,,0,,0,,0,,,0,,,0,,0,
74,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
74,th,4,0,,,0,,0,,0,,,0,,,0,,0,
74,us,4,1,12-May-1998,,0,,0,,0,,,0,,,0,,0,
75,ca,4,1,31-Dec-1987,09-Jul-2007,0,,0,,0,,,0,,,0,,1,09-Jul-2007
75,eu,3,0,,,0,,0,,0,,,0,,,0,,0,
75,th,0,0,,,0,,0,,0,,,0,,,0,,0,
75,us,4,1,19-Jul-1986,30-Jul-2011,0,,0,,0,,,0,,,0,,1,30-Jul-2011
76,ca,4,1,31-Dec-1995,,0,,0,,0,,,0,,,0,,0,
76,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
76,th,0,0,,,0,,0,,0,,,0,,,0,,0,
76,us,4,1,14-Jul-1986,,0,,0,,0,,,0,,,0,,0,
78,ca,3,0,,,0,,0,,0,,,0,,,0,,0,
78,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
78,th,0,0,,,0,,0,,0,,,0,,,0,,0,
78,us,4,1,19-Feb-2002,,0,,0,,0,,,0,,,0,,0,
80,ca,4,1,03-Dec-2007,,0,,0,,0,,,0,,,0,,0,
80,eu,4,1,16-Dec-2020,,0,,0,,0,,,0,,,0,,0,
80,th,0,0,,,0,,0,,0,,,0,,,0,,0,
80,us,4,1,12-Sep-2003,,1,,0,,0,,,0,,,0,,0,
81,ca,4,1,10-Apr-2006,31-Jul-2014,0,,0,,0,,,0,,,0,,1,31-Jul-2014
81,eu,3,0,,,0,,0,,0,,,0,,,0,,0,
81,th,0,0,,,0,,0,,0,,,0,,,0,,0,
81,us,4,1,15-Jul-2009,28-Nov-2014,0,,1,,0,,,0,,,0,,1,28-Nov-2014
82,ca,4,1,24-Jan-2006,,0,,0,,0,,,0,,,0,,0,
82,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
82,th,0,0,,,0,,0,,0,,,0,,,0,,0,
82,us,4,1,25-May-2003,,0,,0,,0,,,0,,,0,,0,
83,ca,4,1,31-Dec-1992,,0,,0,,0,,,0,,,0,,0,
83,eu,4,1,03-Mar-2021,,0,,0,,0,,,0,,,0,,0,
83,th,4,0,,,0,,0,,0,,,0,,,0,,0,
83,us,4,1,15-Dec-1989,,0,,0,,0,,,0,,,0,,0,
85,ca,4,1,31-Dec-1959,22-Oct-2007,0,,1,,1,31-Dec-1953,,0,,,0,,0,
85,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
85,th,4,0,,,0,,1,,1,16-Nov-1998,,0,,,0,,0,
85,us,4,0,,,0,,1,,1,21-Nov-2018,,1,21-Nov-2018,,1,,0,
86,ca,4,1,31-Dec-1981,22-Feb-2012,0,,0,,0,,,0,,,0,,1,22-Feb-2012
86,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
86,th,0,0,,,0,,0,,0,,,0,,,0,,0,
86,us,0,0,,,0,,0,,0,,,0,,,0,,0,
87,ca,4,1,01-May-2006,,0,,0,,0,,,0,,,0,,0,
87,eu,4,1,22-Dec-2020,,0,,0,,0,,,0,,,0,,0,
87,th,4,0,,,0,,0,,0,,,0,,,0,,0,
87,us,4,1,20-Apr-2009,,0,,0,,0,,,0,,,0,,0,
88,ca,3,0,,,0,,0,,0,,,0,,,0,,0,
88,eu,3,0,,,0,,0,,0,,,0,,,0,,0,
88,th,0,0,,,0,,0,,0,,,0,,,0,,0,
88,us,4,1,05-Apr-1991,01-Apr-2011,0,,0,,0,,,0,,,0,,1,01-Apr-2011
89,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
89,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
89,th,0,0,,,0,,0,,0,,,0,,,0,,0,
89,us,4,1,28-Oct-1996,22-May-2015,0,,0,,0,,,0,,,0,,1,22-May-2015
90,ca,4,1,12-Aug-2004,,0,,0,,0,,,0,,,0,,0,
90,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
90,th,4,0,,,0,,0,,0,,,0,,,0,,0,
90,us,4,1,30-Apr-2003,,0,,0,,0,,,0,,,0,,0,
91,ca,4,1,31-Dec-1984,,1,,0,,0,,,0,,,0,,0,
91,eu,4,1,16-Dec-2020,,0,,0,,0,,,0,,,0,,0,
91,th,4,0,,,0,,0,,0,,,0,,,0,,0,
91,us,4,1,14-Nov-1983,,1,,0,,0,,,1,07-Oct-2003,,0,,0,
92,ca,4,1,12-Oct-2004,01-Dec-2012,0,,0,,0,,,0,,,0,,1,01-Dec-2012
92,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
92,th,0,0,,,0,,0,,0,,,0,,,0,,0,
92,us,4,1,30-Jan-2003,28-Sep-2012,0,,0,,0,,,0,,,0,,1,28-Sep-2012
93,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
93,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
93,th,0,0,,,0,,0,,0,,,0,,,0,,0,
93,us,0,0,,,0,,0,,0,,,0,,,0,,0,
94,ca,4,1,31-Dec-1988,18-Jul-2019,0,,1,,0,,,0,,,0,,1,18-Jul-2019
94,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
94,th,0,0,,,0,,0,,0,,,0,,,0,,0,
94,us,4,0,,,0,,0,,0,,,0,,,1,,0,
95,ca,4,1,26-Oct-2005,08-Jun-2009,0,,0,,0,,,0,,,0,,1,08-Jun-2009
