drug_id,country,number,approved_on,expires_on,ped_extension
1167,United States,8591948,26-Nov-2013,12-May-2017,0
1167,United States,9713642,25-Jul-2017,21-Jun-2033,0
1167,United States,8771739,08-Jul-2014,25-Jul-2023,0
1167,United States,8921374,30-Dec-2014,21-Jun-2033,0
1167,United States,9272046,01-Mar-2016,21-Jun-2033,0
1167,United States,10463740,05-Nov-2019,21-Jun-2033,0
1167,United States,10806792,20-Oct-2020,21-Jun-2033,0
1169,United States,6723351,20-Apr-2004,10-Nov-2018,0
1169,United States,6855339,15-Feb-2005,10-Nov-2018,0
1169,United States,6861076,01-Mar-2005,10-Nov-2018,0
1169,United States,6884439,26-Apr-2005,10-Nov-2018,0
1169,United States,6982096,03-Jan-2006,10-Nov-2018,0
1169,United States,8273379,25-Sep-2012,10-Nov-2018,0
1175,United States,RE34712,30-Aug-1994,14-Sep-2011,0
1175,Canada,2373757,05-Jan-2010,07-Jul-2020,0
1175,Canada,1339452,09-Sep-1997,09-Sep-2014,0
1175,United States,7420069,02-Sep-2008,12-Feb-2023,1
1175,United States,6916941,12-Jul-2005,12-Feb-2023,1
1181,United States,5252341,12-Oct-1993,16-Jul-2011,0
1182,United States,5681588,28-Oct-1997,28-Oct-2014,0
1183,United States,9205082,08-Dec-2015,10-May-2022,0
1183,United States,7579019,25-Aug-2009,22-Jan-2020,0
1183,United States,6159498,12-Dec-2000,18-Oct-2016,0
1183,United States,9073933,07-Jul-2015,30-Mar-2025,0
1183,United States,7674800,09-Mar-2010,30-Mar-2025,0
1183,United States,7683072,23-Mar-2010,30-Mar-2025,0
1183,United States,7674799,09-Mar-2010,30-Mar-2025,0
1183,United States,8475832,02-Jul-2013,26-Mar-2030,0
1183,United States,8603514,10-Dec-2013,03-Apr-2024,0
1183,United States,8017150,13-Sep-2011,13-Feb-2023,0
1183,United States,8425462,23-Apr-2013,23-Nov-2024,0
1183,United States,8231573,31-Jul-2012,25-Nov-2028,0
1183,United States,8016788,13-Sep-2011,21-Mar-2025,0
1183,United States,8206360,26-Jun-2012,27-Feb-2027,0
1183,United States,9238108,19-Jan-2016,22-Jan-2027,0
1183,United States,8226610,24-Jul-2012,10-Apr-2029,0
1183,United States,7918823,05-Apr-2011,23-Nov-2024,0
1183,United States,8608698,17-Dec-2013,23-Nov-2024,0
1183,United States,8021344,20-Sep-2011,02-Nov-2029,0
1183,United States,8361029,29-Jan-2013,23-Nov-2024,0
1183,United States,8313466,20-Nov-2012,23-Nov-2024,0
1183,United States,7731690,08-Jun-2010,15-Jan-2025,0
1183,United States,9278182,08-Mar-2016,01-Feb-2026,0
1183,United States,7731686,08-Jun-2010,01-Jun-2026,0
1183,United States,8926594,06-Jan-2015,31-Mar-2026,0
1183,United States,7749194,06-Jul-2010,30-Oct-2028,0
1183,United States,9056170,16-Jun-2015,23-Nov-2024,0
1183,United States,7947017,24-May-2011,12-Mar-2028,0
1183,United States,8939943,27-Jan-2015,28-Feb-2031,0
1183,United States,8627816,14-Jan-2014,04-Feb-2032,0
1183,United States,9022022,05-May-2015,28-Feb-2031,0
1183,United States,8147866,03-Apr-2012,23-Jul-2027,0
1183,United States,8703177,22-Apr-2014,20-Aug-2032,0
1183,United States,8470361,25-Jun-2013,22-May-2030,0
1183,United States,8454996,04-Jun-2013,24-Sep-2019,0
1183,United States,8658198,25-Feb-2014,03-Dec-2027,0
1183,United States,8940330,27-Jan-2015,18-Sep-2032,0
1183,United States,9259421,16-Feb-2016,18-Sep-2032,0
1183,United States,9168252,27-Oct-2015,10-May-2022,0
1183,United States,9161937,20-Oct-2015,10-May-2022,0
1183,United States,8969369,03-Mar-2015,10-May-2022,0
1183,United States,9084729,21-Jul-2015,10-May-2022,0
1183,United States,9283216,15-Mar-2016,10-May-2022,0
1183,United States,9056051,16-Jun-2015,10-May-2022,0
1183,United States,8846090,30-Sep-2014,04-Apr-2023,0
1183,United States,6277384,21-Aug-2001,22-Dec-2018,0
1183,United States,8822487,02-Sep-2014,22-Dec-2018,0
1183,United States,8673355,18-Mar-2014,22-Dec-2018,0
1183,United States,6696066,24-Feb-2004,22-Dec-2018,0
1183,United States,8846091,30-Sep-2014,04-Apr-2023,0
1183,United States,9211253,15-Dec-2015,16-Mar-2035,0
1183,United States,9522919,20-Dec-2016,30-Mar-2025,0
1183,United States,9517307,13-Dec-2016,18-Jul-2034,0
1183,United States,9474869,25-Oct-2016,28-Feb-2031,0
1183,United States,9522188,20-Dec-2016,24-Apr-2035,0
1183,United States,9655843,23-May-2017,23-Jul-2027,0
1183,United States,9439900,13-Sep-2016,18-Sep-2032,0
1183,United States,9345701,24-May-2016,10-May-2022,0
1183,United States,9511066,06-Dec-2016,10-May-2022,0
1183,United States,9555000,31-Jan-2017,04-Apr-2023,0
1183,United States,9474750,25-Oct-2016,22-Dec-2018,0
1183,United States,9283221,15-Mar-2016,10-May-2022,0
1183,United States,9480644,01-Nov-2016,16-Mar-2035,0
1183,United States,9629965,25-Apr-2017,16-Mar-2035,0
1183,United States,9561177,07-Feb-2017,16-Mar-2035,0
1183,United States,9468747,18-Oct-2016,16-Mar-2035,0
1183,United States,9707226,18-Jul-2017,16-Mar-2035,0
1183,United States,9687454,27-Jun-2017,07-Aug-2029,0
1183,United States,9724471,08-Aug-2017,23-May-2027,0
1183,United States,9775838,03-Oct-2017,16-Mar-2035,0
1183,United States,9737669,22-Aug-2017,23-Nov-2024,0
1183,United States,9855221,02-Jan-2018,14-Feb-2022,0
1183,United States,9907793,06-Mar-2018,04-Apr-2023,0
1183,United States,9931305,03-Apr-2018,14-Feb-2022,0
1183,United States,10085937,02-Oct-2018,16-Mar-2035,0
1183,United States,10143972,04-Dec-2018,24-May-2031,0
1183,United States,10220158,05-Mar-2019,20-Mar-2035,0
1183,United States,10143792,04-Dec-2018,24-May-2031,0
1183,United States,10285910,14-May-2019,11-Oct-2022,0
1183,United States,10314977,11-Jun-2019,23-Nov-2024,0
1183,United States,10322239,18-Jun-2019,28-Feb-2031,0
1183,United States,10335549,02-Jul-2019,30-Apr-2025,0
1183,United States,10737028,11-Aug-2020,23-Nov-2024,0
1183,United States,10874661,29-Dec-2020,18-Sep-2032,0
1183,United States,10946010,16-Mar-2021,18-Sep-2032,0
1183,United States,10973814,26-Aug-2014,26-Aug-2034,0
1183,United States,10722510,28-Jul-2020,26-Aug-2034,0
1183,United States,10960155,30-Mar-2021,25-Jun-2026,0
1183,United States,11020388,18-Sep-2012,18-Sep-2032,0
